Código Departamento,Departamento,Código Entidad,Entidad,Dimensión,Subcategoría,Indicador,Dato Numérico,Dato Cualitativo,Año,Mes,Fuente,Unidad de Medida
86,Putumayo,86885,Villagarzón,Educación,Acceso a la educación,Cobertura bruta en educación - Total,82.7,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85000,Casanare,Educación,Acceso a la educación,Cobertura bruta en educación - Total,98.9,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85001,Yopal,Educación,Acceso a la educación,Cobertura bruta en educación - Total,103.21,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85010,Aguazul,Educación,Acceso a la educación,Cobertura bruta en educación - Total,105.01,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85015,Chámeza,Educación,Acceso a la educación,Cobertura bruta en educación - Total,80.65,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85125,Hato Corozal,Educación,Acceso a la educación,Cobertura bruta en educación - Total,107.87,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85136,La Salina,Educación,Acceso a la educación,Cobertura bruta en educación - Total,90.38,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85139,Maní,Educación,Acceso a la educación,Cobertura bruta en educación - Total,96.76,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85162,Monterrey,Educación,Acceso a la educación,Cobertura bruta en educación - Total,99.95,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85225,Nunchía,Educación,Acceso a la educación,Cobertura bruta en educación - Total,90.64,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85230,Orocué,Educación,Acceso a la educación,Cobertura bruta en educación - Total,97.76,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85250,Paz de Ariporo,Educación,Acceso a la educación,Cobertura bruta en educación - Total,97.93,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85263,Pore,Educación,Acceso a la educación,Cobertura bruta en educación - Total,78.07,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85279,Recetor,Educación,Acceso a la educación,Cobertura bruta en educación - Total,49.76,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85300,Sabanalarga,Educación,Acceso a la educación,Cobertura bruta en educación - Total,107.11,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85315,Sácama,Educación,Acceso a la educación,Cobertura bruta en educación - Total,94.36,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85325,San Luis de Palenque,Educación,Acceso a la educación,Cobertura bruta en educación - Total,70.47,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85400,Támara,Educación,Acceso a la educación,Cobertura bruta en educación - Total,107.56,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85410,Tauramena,Educación,Acceso a la educación,Cobertura bruta en educación - Total,106.59,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85440,Villanueva,Educación,Acceso a la educación,Cobertura bruta en educación - Total,91.68,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
85,Casanare,85430,Trinidad,Educación,Acceso a la educación,Cobertura bruta en educación - Total,95.74,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76246,El Cairo,Educación,Acceso a la educación,Cobertura bruta en educación - Total,78.37,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76248,El Cerrito,Educación,Acceso a la educación,Cobertura bruta en educación - Total,109.45,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76250,El Dovio,Educación,Acceso a la educación,Cobertura bruta en educación - Total,147.67,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76275,Florida,Educación,Acceso a la educación,Cobertura bruta en educación - Total,106.33,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76306,Ginebra,Educación,Acceso a la educación,Cobertura bruta en educación - Total,100.24,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
76,Valle del Cauca,76318,Guacarí,Educación,Acceso a la educación,Cobertura bruta en educación - Total,101.55,,2005,12,Ministerio de Educación Nacional,Porcentaje (el valor está multiplicado por 100)
