Código Departamento,Departamento,Código Entidad,Entidad,Dimensión,Subcategoría,Indicador,Dato Numérico,Dato Cualitativo,Año,Mes,Fuente,Unidad de Medida
44,La Guajira,44078,Barrancas,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.24,,2010,12,ICFES,Puntos
44,La Guajira,44090,Dibulla,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,43.49,,2010,12,ICFES,Puntos
44,La Guajira,44098,Distracción,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,44.71,,2010,12,ICFES,Puntos
44,La Guajira,44110,El Molino,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,44.81,,2010,12,ICFES,Puntos
44,La Guajira,44279,Fonseca,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,46.99,,2010,12,ICFES,Puntos
44,La Guajira,44378,Hatonuevo,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,45.23,,2010,12,ICFES,Puntos
41,Huila,41000,Huila,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,50.84,,2010,12,ICFES,Puntos
41,Huila,41001,Neiva,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,53.01,,2010,12,ICFES,Puntos
41,Huila,41006,Acevedo,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,46.48,,2010,12,ICFES,Puntos
41,Huila,41013,Agrado,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,46.93,,2010,12,ICFES,Puntos
41,Huila,41016,Aipe,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.83,,2010,12,ICFES,Puntos
41,Huila,41020,Algeciras,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,48.62,,2010,12,ICFES,Puntos
41,Huila,41026,Altamira,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,50.63,,2010,12,ICFES,Puntos
41,Huila,41078,Baraya,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,46.95,,2010,12,ICFES,Puntos
41,Huila,41132,Campoalegre,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,49.2,,2010,12,ICFES,Puntos
41,Huila,41206,Colombia,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,50.07,,2010,12,ICFES,Puntos
41,Huila,41801,Teruel,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.12,,2010,12,ICFES,Puntos
41,Huila,41807,Timaná,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.74,,2010,12,ICFES,Puntos
41,Huila,41872,Villavieja,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,46.85,,2010,12,ICFES,Puntos
41,Huila,41885,Yaguará,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.55,,2010,12,ICFES,Puntos
41,Huila,41615,Rivera,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,50.16,,2010,12,ICFES,Puntos
41,Huila,41660,Saladoblanco,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,47.87,,2010,12,ICFES,Puntos
41,Huila,41668,San Agustín,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,50.16,,2010,12,ICFES,Puntos
41,Huila,41676,Santa María,Educación,Calidad  ,Puntaje promedio Pruebas Saber 11 - Matemáticas,50.97,,2010,12,ICFES,Puntos
